id,currency,ratedate,buyingrate,centralrate,sellingrate,scrape_date
60224,EURO,2025-11-10,1662.0786,1662.6572,1663.2358,2025-12-08
60225,YEN,2025-11-10,9.3223,9.3256,9.3288,2025-12-08
60226,RIYAL,2025-11-10,382.9503,383.0836,383.2169,2025-12-08
60230,POUNDS STERLING,2025-11-10,1893.4655,1894.1246,1894.7838,2025-12-08
60231,US DOLLAR,2025-11-10,1436.2933,1436.7933,1437.2933,2025-12-08
60234,YUAN/RENMINBI,2025-11-11,201.9824,202.0527,202.1229,2025-12-09
60236,EURO,2025-11-11,1667.7448,1668.3248,1668.9048,2025-12-09
60237,YEN,2025-11-11,9.3504,9.3536,9.3569,2025-12-09
60238,RIYAL,2025-11-11,383.3283,383.4616,383.5949,2025-12-09
60242,POUNDS STERLING,2025-11-11,1894.328,1894.9868,1895.6456,2025-12-09
60243,US DOLLAR,2025-11-11,1437.711,1438.211,1438.711,2025-12-09
60246,YUAN/RENMINBI,2025-11-12,202.6248,202.695,202.7653,2025-12-10
60248,EURO,2025-11-12,1672.8133,1673.3933,1673.9733,2025-12-10
60249,YEN,2025-11-12,9.3788,9.382,9.3853,2025-12-10
60250,RIYAL,2025-11-12,384.5035,384.6368,384.7701,2025-12-10
60254,POUNDS STERLING,2025-11-12,1900.0851,1900.7439,1901.4027,2025-12-10
60255,US DOLLAR,2025-11-12,1442.0804,1442.5804,1443.0804,2025-12-10
60258,YUAN/RENMINBI,2025-11-13,202.9195,202.99,203.0604,2025-12-11
60260,EURO,2025-11-13,1673.7965,1674.3775,1674.9585,2025-12-11
60261,YEN,2025-11-13,9.313,9.3163,9.3195,2025-12-11
60262,RIYAL,2025-11-13,384.1083,384.2416,384.375,2025-12-11
60266,POUNDS STERLING,2025-11-13,1897.6416,1898.3003,1898.959,2025-12-11
60267,US DOLLAR,2025-11-13,1440.4445,1440.9445,1441.4445,2025-12-11
60270,YUAN/RENMINBI,2025-11-14,203.0213,203.0917,203.1621,2025-12-12
60272,EURO,2025-11-14,1677.3931,1677.975,1678.5568,2025-12-12
60273,YEN,2025-11-14,9.3557,9.3589,9.3622,2025-12-12
60274,RIYAL,2025-11-14,384.3713,384.5047,384.638,2025-12-12
60278,POUNDS STERLING,2025-11-14,1897.6438,1898.302,1898.9603,2025-12-12
60279,US DOLLAR,2025-11-14,1441.4309,1441.9309,1442.4309,2025-12-12
60282,YUAN/RENMINBI,2025-11-17,203.5749,203.6452,203.7155,2025-12-15
60284,EURO,2025-11-17,1677.8317,1678.4115,1678.9912,2025-12-15
60285,YEN,2025-11-17,9.3423,9.3455,9.3488,2025-12-15
60286,RIYAL,2025-11-17,385.8439,385.9772,386.1106,2025-12-15
60290,POUNDS STERLING,2025-11-17,1907.9096,1908.5688,1909.2281,2025-12-15
60291,US DOLLAR,2025-11-17,1447.0304,1447.5304,1448.0304,2025-12-15
60294,YUAN/RENMINBI,2025-11-18,203.4360,203.5063,203.5766,2025-12-17
60296,EURO,2025-11-18,1678.0031,1678.5831,1679.1632,2025-12-17
60297,YEN,2025-11-18,9.3240,9.3272,9.3304,2025-12-17
60298,RIYAL,2025-11-18,385.6734,385.8068,385.9401,2025-12-17
60303,POUNDS STERLING,2025-11-18,1902.1997,1902.8572,1903.5148,2025-12-17
60304,US DOLLAR,2025-11-18,1446.4297,1446.9297,1447.4297,2025-12-17
60307,YUAN/RENMINBI,2025-11-19,204.3774,204.4478,204.5181,2025-12-17
60309,EURO,2025-11-19,1682.2068,1682.7856,1683.3644,2025-12-17
60310,YEN,2025-11-19,9.3028,9.3060,9.3092,2025-12-17
60311,RIYAL,2025-11-19,387.4746,387.6080,387.7413,2025-12-17
60315,POUNDS STERLING,2025-11-19,1906.5786,1907.2346,1907.8906,2025-12-17
